StudentID,Gender,Smoker,Sleep_Schedule,Study_Habit,Cleanliness,Social_Personality,Visitor_Frequency
1,Male,No,3,3,4,3,2
2,Female,No,3,2,2,4,2
3,Male,No,3,3,1,4,2
4,Male,No,2,5,3,3,4
5,Male,No,4,5,4,1,1
6,Female,No,5,1,2,3,4
7,Male,No,1,3,5,5,2
8,Male,No,4,4,1,4,5
9,Male,No,3,1,2,2,3
10,Female,No,4,3,5,5,4
11,Male,No,5,3,2,4,4
12,Male,No,1,1,4,3,1
13,Male,No,1,5,4,5,1
14,Male,No,5,3,4,4,4
15,Female,No,5,5,1,1,2
16,Male,No,3,1,4,1,3
17,Female,No,1,5,5,2,1
18,Female,No,4,2,2,4,2
19,Female,No,2,4,3,1,5
20,Male,No,2,3,5,3,1
21,Female,No,5,4,5,4,2
22,Male,No,3,5,4,3,2
23,Female,No,2,3,1,3,3
24,Female,No,1,5,2,1,3
25,Female,No,5,2,1,4,5
26,Female,No,4,1,2,5,2
27,Female,No,5,3,2,1,2
28,Female,No,4,2,1,1,3
29,Female,No,5,2,5,4,1
30,Female,No,5,3,2,4,1
31,Male,No,5,5,1,3,4
32,Male,No,4,2,2,4,3
33,Female,No,4,4,3,3,4
34,Female,No,5,2,5,1,3
35,Female,No,2,5,4,2,5
36,Male,Yes,3,5,2,5,2
37,Female,No,3,4,3,1,5
38,Male,No,3,2,4,4,3
39,Male,No,4,5,4,5,2
40,Male,No,4,3,2,2,1
41,Male,Yes,2,1,1,2,1
42,Male,Yes,3,1,2,3,4
43,Female,No,3,1,3,5,3
44,Female,No,5,2,4,3,3
45,Female,No,4,4,2,1,1
46,Female,No,3,5,1,5,5
47,Female,No,2,3,2,1,2
48,Male,No,2,3,5,3,5
49,Female,No,3,2,1,5,5
50,Female,No,4,1,3,3,1
51,Male,No,2,2,4,5,1
52,Female,No,5,4,2,3,1
53,Male,No,2,4,1,2,4
54,Female,No,1,5,5,3,5
55,Male,No,1,5,1,2,3
56,Female,No,4,4,5,3,2
57,Female,No,3,4,3,5,4
58,Male,No,4,4,4,5,3
59,Male,No,4,2,3,5,5
60,Male,No,4,4,2,4,1
61,Male,No,4,3,1,1,5
62,Male,No,5,1,5,5,2
63,Male,Yes,5,4,5,2,4
64,Male,No,2,1,1,5,4
65,Male,No,1,2,1,4,2
66,Female,No,4,1,2,2,3
67,Female,No,2,2,3,4,3
68,Male,No,1,3,5,2,4
69,Female,No,3,2,2,3,4
70,Female,No,5,2,3,1,1
71,Female,No,1,5,2,1,3
72,Female,No,3,4,5,4,2
73,Male,No,1,4,1,1,3
74,Female,No,5,3,1,4,1
75,Male,No,5,3,3,4,4
76,Female,No,2,4,4,4,4
77,Female,No,4,5,3,1,1
78,Female,No,1,4,4,4,2
79,Male,No,1,5,2,1,4
80,Female,No,3,3,2,4,5
81,Male,No,5,1,5,5,4
82,Female,No,1,3,4,4,5
83,Male,Yes,5,3,5,2,1
84,Female,No,1,2,1,4,1
85,Male,Yes,2,2,4,3,4
86,Male,Yes,4,2,3,4,3
87,Female,No,1,2,1,2,5
88,Male,No,5,5,1,2,2
89,Female,No,2,4,3,1,4
90,Female,No,1,1,1,5,2
91,Female,No,3,3,4,4,4
92,Female,No,4,5,5,1,3
93,Female,No,1,1,1,5,3
94,Female,No,2,5,4,4,3
95,Female,No,3,5,2,3,3
96,Female,No,2,3,4,4,1
97,Female,No,2,4,5,2,1
98,Female,Yes,3,2,4,2,5
99,Female,No,2,4,3,3,2
100,Male,No,3,3,5,1,4
101,Male,No,1,3,2,5,4
102,Female,No,3,3,3,4,1
103,Female,No,3,1,4,2,4
104,Female,No,4,4,5,1,1
105,Female,No,3,4,2,3,5
106,Female,No,3,5,3,2,2
107,Female,Yes,1,5,2,3,5
108,Female,No,4,5,4,4,3
109,Female,No,5,3,2,5,3
110,Male,No,1,4,1,2,3
111,Female,No,1,3,3,2,5
112,Male,No,5,1,2,4,4
113,Female,No,3,5,4,1,2
114,Female,No,2,3,4,5,3
115,Male,No,4,3,2,2,3
116,Female,No,2,1,4,5,3
117,Male,No,5,2,5,2,2
118,Female,No,1,4,5,5,3
119,Female,No,1,2,5,3,2
120,Male,No,4,5,1,2,3
121,Female,No,1,3,2,5,5
122,Male,Yes,1,1,1,1,5
123,Female,No,4,1,4,3,2
124,Male,No,4,4,1,3,5
125,Male,No,5,2,4,1,2
126,Female,No,1,4,4,5,5
127,Female,No,1,3,3,4,5
128,Male,Yes,5,4,5,1,2
129,Female,No,3,1,4,5,4
130,Female,No,3,1,3,1,5
131,Female,No,3,5,5,1,3
132,Male,No,5,5,4,2,4
133,Male,No,1,3,4,5,2
134,Male,No,5,2,1,4,4
135,Male,No,5,4,1,2,1
136,Male,No,3,3,5,1,1
137,Male,No,2,5,4,1,5
138,Male,No,1,4,2,1,5
139,Male,No,3,5,1,5,3
140,Male,No,2,4,5,5,4
141,Female,No,2,2,4,2,1
142,Male,No,4,3,4,4,5
143,Female,No,1,4,2,2,4
144,Female,No,2,1,5,3,5
145,Female,No,3,1,4,1,5
146,Male,No,4,4,1,1,1
147,Male,No,1,4,2,1,1
148,Male,No,5,4,5,2,5
149,Male,No,3,1,2,2,2
150,Female,No,2,1,1,1,5
151,Male,No,2,4,5,2,5
152,Male,No,3,5,2,5,3
153,Male,No,2,5,3,5,3
154,Male,No,4,2,1,2,3
155,Male,No,1,3,1,1,2
156,Female,No,4,5,1,2,2
157,Male,No,2,1,3,2,5
158,Female,Yes,5,5,3,2,3
159,Male,No,1,2,4,3,2
160,Female,No,1,2,2,5,1
161,Male,No,3,3,4,4,5
162,Male,No,3,5,2,4,4
163,Female,No,5,1,3,3,5
164,Female,No,1,1,3,2,4
165,Female,No,5,4,4,3,3
166,Male,No,3,1,5,3,4
167,Female,No,3,3,4,1,3
168,Male,No,1,3,2,5,1
169,Male,No,4,1,4,4,4
170,Female,No,2,1,1,2,5
171,Female,No,3,4,2,4,3
172,Male,No,3,1,2,4,5
173,Male,No,4,4,5,5,2
174,Female,No,4,4,3,4,3
175,Female,No,5,1,2,4,4
176,Female,No,5,2,3,3,3
177,Male,No,2,2,4,5,5
178,Male,No,2,4,1,1,1
179,Male,No,1,1,5,2,3
180,Male,No,5,2,3,4,4
181,Male,No,3,1,2,2,2
182,Male,No,5,1,3,1,1
183,Female,No,3,1,2,2,2
184,Male,No,4,5,3,1,3
185,Male,No,5,1,2,3,5
186,Male,No,4,5,4,4,5
187,Female,No,2,4,2,1,4
188,Male,No,2,2,2,2,5
189,Male,No,1,2,1,4,1
190,Female,No,5,2,2,3,5
191,Male,No,4,2,1,4,4
192,Male,No,3,2,5,1,3
193,Male,No,2,2,1,3,3
194,Male,No,2,2,4,2,5
195,Male,No,3,4,1,3,2
196,Female,No,4,1,5,3,3
197,Female,No,4,3,4,5,5
198,Female,No,5,5,3,3,4
199,Male,No,5,3,3,3,5
200,Male,No,1,3,1,4,3
201,Male,No,2,1,1,2,4
202,Female,No,5,1,5,4,5
203,Male,No,4,1,5,4,1
204,Male,No,3,2,2,1,4
205,Female,No,4,4,5,4,1
206,Male,No,2,2,2,5,2
207,Female,Yes,4,4,4,5,4
208,Female,No,1,4,1,1,1
209,Female,No,2,3,4,2,3
210,Male,No,3,3,5,2,3
211,Male,No,1,4,4,4,2
212,Male,No,2,4,4,4,4
213,Male,No,3,2,4,4,4
214,Male,No,1,2,5,2,4
215,Male,No,1,3,4,3,2
216,Male,No,2,1,2,5,4
217,Female,No,5,4,5,3,3
218,Male,No,1,2,4,3,1
219,Female,No,1,3,5,2,3
220,Male,No,3,2,3,3,3
221,Male,Yes,4,4,2,1,1
222,Male,No,2,4,4,4,3
223,Female,Yes,2,5,3,1,2
224,Female,No,5,1,3,5,1
225,Female,No,5,5,5,4,3
226,Female,No,2,3,3,3,5
227,Male,No,5,2,2,5,3
228,Female,No,3,3,2,4,2
229,Male,No,2,4,1,3,4
230,Male,No,5,5,2,1,3
231,Female,No,2,5,3,4,4
232,Female,No,4,5,2,3,5
233,Female,No,1,3,5,1,3
234,Female,No,2,4,1,5,1
235,Female,No,1,2,3,5,4
236,Female,No,5,2,1,5,5
237,Female,Yes,1,3,3,5,1
238,Female,No,2,5,5,2,1
239,Male,No,4,1,1,4,1
240,Female,No,5,3,4,4,1
241,Female,No,2,3,3,2,3
242,Male,No,5,4,4,3,3
243,Female,No,3,2,1,3,3
244,Male,No,1,3,4,5,5
245,Male,No,3,3,4,1,5
246,Female,No,2,5,1,3,5
247,Male,No,4,5,5,1,2
248,Male,No,5,1,4,4,5
249,Male,No,1,4,4,1,3
250,Male,No,5,1,5,4,3
251,Female,No,2,5,4,2,2
252,Male,No,5,2,4,2,2
253,Female,No,1,5,4,5,5
254,Male,No,2,4,2,3,4
255,Male,No,5,5,5,5,2
256,Male,No,4,4,4,4,1
257,Male,No,2,4,5,5,3
258,Female,No,2,4,3,1,1
259,Female,No,4,4,3,4,3
260,Male,No,3,4,4,2,3
261,Male,No,1,2,5,3,2
262,Female,No,3,1,5,4,2
263,Male,No,5,3,5,4,1
264,Male,No,4,1,2,1,3
265,Male,Yes,3,4,3,3,1
266,Female,Yes,2,2,5,2,4
267,Female,No,5,5,5,4,1
268,Female,No,5,2,2,4,5
