StudentID,Gender,Smoker,Sleep_Schedule,Study_Habit,Cleanliness,Social_Personality,Visitor_Frequency,Cluster
1,Male,No,3,3,4,3,2,1
3,Male,No,3,3,1,4,2,2
4,Male,No,2,5,3,3,4,3
5,Male,No,4,5,4,1,1,3
7,Male,No,1,3,5,5,2,1
8,Male,No,4,4,1,4,5,0
9,Male,No,3,1,2,2,3,0
11,Male,No,5,3,2,4,4,0
12,Male,No,1,1,4,3,1,1
13,Male,No,1,5,4,5,1,1
14,Male,No,5,3,4,4,4,0
16,Male,No,3,1,4,1,3,0
20,Male,No,2,3,5,3,1,1
22,Male,No,3,5,4,3,2,3
31,Male,No,5,5,1,3,4,3
32,Male,No,4,2,2,4,3,0
36,Male,Yes,3,5,2,5,2,2
38,Male,No,3,2,4,4,3,1
39,Male,No,4,5,4,5,2,1
40,Male,No,4,3,2,2,1,2
41,Male,Yes,2,1,1,2,1,2
42,Male,Yes,3,1,2,3,4,0
48,Male,No,2,3,5,3,5,0
51,Male,No,2,2,4,5,1,1
53,Male,No,2,4,1,2,4,2
55,Male,No,1,5,1,2,3,2
58,Male,No,4,4,4,5,3,1
59,Male,No,4,2,3,5,5,0
60,Male,No,4,4,2,4,1,2
61,Male,No,4,3,1,1,5,0
62,Male,No,5,1,5,5,2,1
63,Male,Yes,5,4,5,2,4,3
64,Male,No,2,1,1,5,4,0
65,Male,No,1,2,1,4,2,2
68,Male,No,1,3,5,2,4,1
73,Male,No,1,4,1,1,3,2
75,Male,No,5,3,3,4,4,0
79,Male,No,1,5,2,1,4,3
81,Male,No,5,1,5,5,4,0
83,Male,Yes,5,3,5,2,1,3
85,Male,Yes,2,2,4,3,4,0
86,Male,Yes,4,2,3,4,3,0
88,Male,No,5,5,1,2,2,3
100,Male,No,3,3,5,1,4,3
101,Male,No,1,3,2,5,4,2
110,Male,No,1,4,1,2,3,2
112,Male,No,5,1,2,4,4,0
115,Male,No,4,3,2,2,3,3
117,Male,No,5,2,5,2,2,3
120,Male,No,4,5,1,2,3,3
122,Male,Yes,1,1,1,1,5,0
124,Male,No,4,4,1,3,5,0
125,Male,No,5,2,4,1,2,3
128,Male,Yes,5,4,5,1,2,3
132,Male,No,5,5,4,2,4,3
133,Male,No,1,3,4,5,2,1
134,Male,No,5,2,1,4,4,0
135,Male,No,5,4,1,2,1,3
136,Male,No,3,3,5,1,1,3
137,Male,No,2,5,4,1,5,3
138,Male,No,1,4,2,1,5,3
139,Male,No,3,5,1,5,3,2
140,Male,No,2,4,5,5,4,1
142,Male,No,4,3,4,4,5,0
146,Male,No,4,4,1,1,1,3
147,Male,No,1,4,2,1,1,2
148,Male,No,5,4,5,2,5,3
149,Male,No,3,1,2,2,2,2
151,Male,No,2,4,5,2,5,3
152,Male,No,3,5,2,5,3,2
153,Male,No,2,5,3,5,3,1
154,Male,No,4,2,1,2,3,0
155,Male,No,1,3,1,1,2,2
157,Male,No,2,1,3,2,5,0
159,Male,No,1,2,4,3,2,1
161,Male,No,3,3,4,4,5,0
162,Male,No,3,5,2,4,4,2
166,Male,No,3,1,5,3,4,0
168,Male,No,1,3,2,5,1,2
169,Male,No,4,1,4,4,4,0
172,Male,No,3,1,2,4,5,0
173,Male,No,4,4,5,5,2,1
177,Male,No,2,2,4,5,5,0
178,Male,No,2,4,1,1,1,2
179,Male,No,1,1,5,2,3,1
180,Male,No,5,2,3,4,4,0
181,Male,No,3,1,2,2,2,2
182,Male,No,5,1,3,1,1,3
184,Male,No,4,5,3,1,3,3
185,Male,No,5,1,2,3,5,0
186,Male,No,4,5,4,4,5,3
188,Male,No,2,2,2,2,5,0
